site,n_samples,accuracy,precision,recall,f1,auc,loss,best_epoch
S01,146,0.6232876712328768,0.6607142857142857,0.5068493150684932,0.5736434108527132,0.6344529930568586,0.7269191294908524,35
S02,30,0.5333333333333333,0.5333333333333333,1.0,0.6956521739130435,0.5089285714285714,0.7013846933841705,5
S04,41,0.6097560975609756,0.5384615384615384,0.7777777777777778,0.6363636363636364,0.7729468599033816,0.6305756171544393,44
S07,72,0.5694444444444444,0.5588235294117647,0.5428571428571428,0.5507246376811594,0.6664092664092663,0.6524485588073731,42
S08,87,0.5402298850574713,0.4838709677419355,0.38461538461538464,0.42857142857142855,0.5550213675213675,0.8587536762158076,42
S09,96,0.5520833333333334,0.5352112676056338,0.7916666666666666,0.6386554621848739,0.7061631944444444,0.6532099743684133,27
S10,71,0.647887323943662,0.8333333333333334,0.5555555555555556,0.6666666666666666,0.6991452991452991,0.7036819219589233,26
S11,37,0.4594594594594595,0.5,0.5,0.5,0.46764705882352936,0.9349235892295837,36
S13,36,0.5833333333333334,0.5925925925925926,0.8,0.6808510638297872,0.553125,0.9012524286905924,49
S14,93,0.4946236559139785,0.6458333333333334,0.5081967213114754,0.5688073394495413,0.5973360655737705,0.673041969537735,16
S15,67,0.5970149253731343,0.5454545454545454,0.6,0.5714285714285714,0.6099099099099099,0.652806568145752,6
S17,82,0.573170731707317,0.5789473684210527,0.5365853658536586,0.5569620253164557,0.5544318857822724,0.7908056577046713,37
S19,49,0.5714285714285714,0.45161290322580644,0.7777777777777778,0.5714285714285714,0.6666666666666666,1.1462944149971008,35
S20,477,0.5786163522012578,0.6,0.5783132530120482,0.588957055214724,0.6096491228070176,0.9655518472194672,44
S21,144,0.5138888888888888,0.6451612903225806,0.25316455696202533,0.36363636363636365,0.6333008763388511,0.6816227038701376,10
S22,38,0.6578947368421053,0.6666666666666666,0.5555555555555556,0.6060606060606061,0.675,0.6458458304405212,14
S23,45,0.6222222222222222,0.5806451612903226,0.8181818181818182,0.6792452830188679,0.6462450592885376,0.6862328251202902,2
