system_pair,edge_count,mean_attention_avg,support_count_total,support_count_avg,weighted_score
Cerebellum-Occipital,49,0.06319524613015064,3782,77.18367346938776,11711.216622347256
Cerebellum-Frontal,43,0.060478142612766315,2744,63.81395348837209,7135.9370031655235
Cerebellum-Temporal,26,0.06227637475546018,2578,99.15384615384616,4174.260847108985
Cerebellum-Parietal,26,0.06019997998785345,1470,56.53846153846154,2300.8432351357587
Cerebellum-Cerebellum,13,0.058975329848395715,1126,86.61538461538461,863.2808783208164
Cerebellum-Limbic,7,0.056743121806330295,786,112.28571428571429,312.2006561784293
Frontal-Limbic,5,0.059440928683224606,280,56.0,83.21730015651444
Frontal-Frontal,2,0.06670909689907553,508,254.0,67.77644244946075
Occipital-Subcortical,3,0.05852355384986197,232,77.33333333333333,40.73239347950393
Subcortical-Temporal,3,0.056675932845679254,200,66.66666666666667,34.00555970740755
Frontal-Subcortical,3,0.05726405780745931,190,63.333333333333336,32.640512950251804
Parietal-Subcortical,3,0.05790358911450436,174,58.0,30.225673517771277
Occipital-Parietal,3,0.06528075141691124,84,28.0,16.450749357061632
Parietal-Temporal,3,0.06099029998047557,80,26.666666666666668,14.637671995314136
Limbic-Limbic,2,0.05678718421647015,80,40.0,9.085949474635225
Cerebellum-Subcortical,1,0.05765126515910322,102,102.0,5.880429046228528
Frontal-Parietal,2,0.06525133195100352,26,13.0,3.393069261452183
Occipital-Temporal,1,0.057147999834269284,50,50.0,2.8573999917134643
Frontal-Occipital,1,0.05610708259046078,40,40.0,2.244283303618431
Parietal-Parietal,1,0.06109919480513781,16,16.0,0.977587116882205
Limbic-Parietal,1,0.060457754880189896,10,10.0,0.604577548801899
Limbic-Occipital,1,0.05673076841048896,8,8.0,0.4538461472839117
Frontal-Temporal,1,0.056941657637556396,6,6.0,0.34164994582533836
